latitude,longitude,datetime
71.1805,-146.82808,2021-03-13 04:20:27
71.18062,-146.82858,2021-03-13 04:30:27
71.1807,-146.8291,2021-03-13 04:40:27
71.18082,-146.82965,2021-03-13 04:50:27
71.18095,-146.83012,2021-03-13 05:00:27
71.18105,-146.83072,2021-03-13 05:10:55
71.18117,-146.83121,2021-03-13 05:20:26
71.18127,-146.83173,2021-03-13 05:30:26
71.1814,-146.83221,2021-03-13 05:40:26
71.18152,-146.83276,2021-03-13 05:50:28
71.18166,-146.83333,2021-03-13 06:00:26
71.18179,-146.83388,2021-03-13 06:10:26
71.18193,-146.83441,2021-03-13 06:20:26
71.18208,-146.83495,2021-03-13 06:30:26
71.18222,-146.8356,2021-03-13 06:40:26
71.18234,-146.83618,2021-03-13 06:50:25
71.1825,-146.83681,2021-03-13 07:00:26
71.18267,-146.83745,2021-03-13 07:10:26
71.18283,-146.83815,2021-03-13 07:20:26
71.18298,-146.83878,2021-03-13 07:30:26
71.18314,-146.83948,2021-03-13 07:40:26
71.18332,-146.84023,2021-03-13 07:50:26
71.1835,-146.84103,2021-03-13 08:00:54
71.18369,-146.84175,2021-03-13 08:10:26
71.18387,-146.84251,2021-03-13 08:20:26
71.18406,-146.84331,2021-03-13 08:30:26
71.18427,-146.84413,2021-03-13 08:40:26
71.18449,-146.84497,2021-03-13 08:50:26
71.18471,-146.84583,2021-03-13 09:00:25
71.18494,-146.84673,2021-03-13 09:10:24
71.18517,-146.84763,2021-03-13 09:20:24
71.18541,-146.84856,2021-03-13 09:30:24
71.18567,-146.84952,2021-03-13 09:40:25
71.18591,-146.85052,2021-03-13 09:50:25
71.18618,-146.8515,2021-03-13 10:00:25
71.18644,-146.85255,2021-03-13 10:10:26
71.18672,-146.85359,2021-03-13 10:20:25
71.18703,-146.85466,2021-03-13 10:30:25
71.18736,-146.85577,2021-03-13 10:40:26
71.18768,-146.8569,2021-03-13 10:50:26
71.18799,-146.85805,2021-03-13 11:00:26
71.18834,-146.85918,2021-03-13 11:10:27
71.18873,-146.86044,2021-03-13 11:20:54
71.18907,-146.86154,2021-03-13 11:30:26
71.18948,-146.8627,2021-03-13 11:40:24
71.18991,-146.86386,2021-03-13 11:50:24
71.19035,-146.86502,2021-03-13 12:00:25
71.1908,-146.86617,2021-03-13 12:10:25
71.19125,-146.86731,2021-03-13 12:20:25
71.19176,-146.86848,2021-03-13 12:30:25
71.19219,-146.86967,2021-03-13 12:40:25
71.19267,-146.87085,2021-03-13 12:50:25
71.19315,-146.87207,2021-03-13 13:00:25
71.19366,-146.87329,2021-03-13 13:10:25
71.19415,-146.87447,2021-03-13 13:20:26
71.19466,-146.87575,2021-03-13 13:30:26
71.19514,-146.87692,2021-03-13 13:40:25
71.19559,-146.87801,2021-03-13 13:50:29
71.19613,-146.87933,2021-03-13 14:00:54
71.19662,-146.88052,2021-03-13 14:10:25
71.19714,-146.88182,2021-03-13 14:20:25
71.19765,-146.88313,2021-03-13 14:30:26
71.1982,-146.88443,2021-03-13 14:40:26
71.19873,-146.88577,2021-03-13 14:50:26
71.19927,-146.88712,2021-03-13 15:00:27
71.19982,-146.88846,2021-03-13 15:10:26
71.20038,-146.88982,2021-03-13 15:20:26
71.20095,-146.89117,2021-03-13 15:30:26
71.20213,-146.89403,2021-03-13 15:50:26
71.20272,-146.89542,2021-03-13 16:00:26
71.20332,-146.89685,2021-03-13 16:10:26
71.20394,-146.8983,2021-03-13 16:20:26
71.20456,-146.89975,2021-03-13 16:30:26
71.20516,-146.90123,2021-03-13 16:40:25
71.20578,-146.90276,2021-03-13 16:50:26
71.20641,-146.90428,2021-03-13 17:00:27
71.20703,-146.90587,2021-03-13 17:10:54
71.20763,-146.90733,2021-03-13 17:20:26
71.20824,-146.90886,2021-03-13 17:30:26
71.20883,-146.91039,2021-03-13 17:40:26
71.20941,-146.91191,2021-03-13 17:50:26
71.21,-146.91339,2021-03-13 18:00:26
71.21056,-146.91484,2021-03-13 18:10:28
71.21113,-146.91629,2021-03-13 18:20:26
71.21173,-146.91774,2021-03-13 18:30:26
71.21223,-146.91924,2021-03-13 18:40:26
71.21278,-146.92075,2021-03-13 18:50:26
71.21333,-146.92223,2021-03-13 19:00:26
71.21387,-146.92375,2021-03-13 19:10:25
71.21442,-146.92528,2021-03-13 19:20:25
71.21495,-146.92676,2021-03-13 19:30:24
71.21552,-146.9283,2021-03-13 19:40:24
71.21607,-146.92984,2021-03-13 19:50:24
71.21668,-146.93147,2021-03-13 20:00:54
71.21722,-146.93297,2021-03-13 20:10:26
71.21777,-146.93454,2021-03-13 20:20:25
71.21832,-146.93614,2021-03-13 20:30:25
71.21889,-146.93777,2021-03-13 20:40:25
71.21945,-146.93939,2021-03-13 20:50:25
71.22003,-146.94099,2021-03-13 21:00:25
71.22063,-146.94263,2021-03-13 21:10:25
71.22122,-146.94429,2021-03-13 21:20:25
71.22181,-146.94595,2021-03-13 21:30:25
71.22243,-146.94772,2021-03-13 21:40:26
71.22305,-146.94945,2021-03-13 21:50:26
71.22366,-146.95119,2021-03-13 22:00:25
71.2243,-146.95296,2021-03-13 22:10:25
71.22498,-146.95473,2021-03-13 22:20:25
71.22562,-146.95645,2021-03-13 22:30:25
71.2263,-146.95815,2021-03-13 22:40:25
71.22696,-146.95987,2021-03-13 22:50:24
71.2277,-146.96161,2021-03-13 23:00:54
71.2284,-146.96304,2021-03-13 23:10:25
71.22918,-146.96455,2021-03-13 23:20:24
71.22997,-146.96602,2021-03-13 23:30:24
71.23077,-146.96745,2021-03-13 23:40:25
71.23157,-146.96887,2021-03-13 23:50:25
71.23236,-146.97031,2021-03-14 00:00:25
71.23316,-146.97169,2021-03-14 00:10:25
71.23392,-146.97302,2021-03-14 00:20:25
71.2347,-146.97427,2021-03-14 00:30:25
71.23544,-146.97568,2021-03-14 00:40:24
71.23618,-146.97702,2021-03-14 00:50:25
71.2369,-146.97836,2021-03-14 01:00:25
71.23763,-146.97972,2021-03-14 01:10:26
71.23835,-146.98103,2021-03-14 01:20:27
71.23906,-146.98238,2021-03-14 01:30:27
71.23972,-146.98363,2021-03-14 01:40:26
71.24041,-146.98502,2021-03-14 01:50:29
71.24119,-146.98653,2021-03-14 02:00:54
71.24185,-146.98787,2021-03-14 02:10:26
71.24252,-146.98927,2021-03-14 02:20:25
71.24314,-146.99065,2021-03-14 02:30:25
71.24379,-146.99211,2021-03-14 02:40:25
71.24442,-146.99356,2021-03-14 02:50:26
71.24507,-146.99498,2021-03-14 03:00:25
71.2457,-146.99644,2021-03-14 03:10:25
71.24632,-146.99797,2021-03-14 03:20:25
71.24696,-146.99951,2021-03-14 03:30:25
71.24757,-147.00105,2021-03-14 03:40:25
71.24818,-147.00266,2021-03-14 03:50:25
71.24876,-147.0043,2021-03-14 04:00:24
71.24936,-147.00595,2021-03-14 04:10:24
71.24992,-147.00763,2021-03-14 04:20:25
71.25054,-147.00935,2021-03-14 04:30:54
71.25108,-147.01102,2021-03-14 04:40:25
71.25164,-147.01276,2021-03-14 04:50:25
71.2522,-147.01454,2021-03-14 05:00:26
71.25275,-147.01633,2021-03-14 05:10:26
71.25329,-147.01819,2021-03-14 05:20:26
71.25384,-147.02007,2021-03-14 05:30:26
71.25439,-147.02193,2021-03-14 05:40:26
71.25494,-147.02379,2021-03-14 05:50:26
71.2555,-147.0257,2021-03-14 06:00:25
71.25602,-147.02765,2021-03-14 06:10:26
71.25656,-147.02965,2021-03-14 06:20:27
71.25712,-147.03162,2021-03-14 06:30:28
