latitude,longitude,datetime
71.23778,-145.05743,2021-03-06 23:30:26
71.238,-145.06078,2021-03-06 23:40:26
71.23822,-145.06403,2021-03-06 23:50:26
71.23842,-145.06726,2021-03-07 00:00:27
71.23857,-145.07045,2021-03-07 00:10:28
71.23872,-145.07361,2021-03-07 00:20:29
71.23904,-145.0768,2021-03-07 00:30:34
71.23923,-145.07991,2021-03-07 00:40:26
71.23943,-145.08301,2021-03-07 00:50:26
71.23961,-145.08609,2021-03-07 01:00:26
71.23979,-145.08914,2021-03-07 01:10:26
71.23998,-145.09218,2021-03-07 01:20:26
71.24016,-145.09518,2021-03-07 01:30:26
71.24033,-145.09816,2021-03-07 01:40:26
71.24052,-145.10109,2021-03-07 01:50:25
71.2407,-145.104,2021-03-07 02:00:25
71.24089,-145.1069,2021-03-07 02:10:25
71.24107,-145.10979,2021-03-07 02:20:26
71.24126,-145.11266,2021-03-07 02:30:27
71.24145,-145.11552,2021-03-07 02:40:28
71.24165,-145.11838,2021-03-07 02:50:27
71.24184,-145.1212,2021-03-07 03:00:26
71.24203,-145.12404,2021-03-07 03:10:26
71.24224,-145.12688,2021-03-07 03:20:27
71.24244,-145.12973,2021-03-07 03:30:27
71.24268,-145.13264,2021-03-07 03:40:54
71.24287,-145.13531,2021-03-07 03:50:26
71.2431,-145.13811,2021-03-07 04:00:26
71.24331,-145.14091,2021-03-07 04:10:25
71.24353,-145.14374,2021-03-07 04:20:24
71.24374,-145.14655,2021-03-07 04:30:24
71.24397,-145.14938,2021-03-07 04:40:25
71.24419,-145.15221,2021-03-07 04:50:25
71.24446,-145.15485,2021-03-07 05:00:25
71.24462,-145.15791,2021-03-07 05:10:26
71.24485,-145.16072,2021-03-07 05:20:26
71.24509,-145.16354,2021-03-07 05:30:26
71.24532,-145.16638,2021-03-07 05:40:26
71.24556,-145.16919,2021-03-07 05:50:25
71.24581,-145.17216,2021-03-07 06:00:54
71.24604,-145.1749,2021-03-07 06:10:25
71.24629,-145.17773,2021-03-07 06:20:26
71.24654,-145.18059,2021-03-07 06:30:25
71.24679,-145.18347,2021-03-07 06:40:25
71.24704,-145.18636,2021-03-07 06:50:25
71.2473,-145.18929,2021-03-07 07:00:25
71.24756,-145.19225,2021-03-07 07:10:25
71.24782,-145.19519,2021-03-07 07:20:25
71.24807,-145.1982,2021-03-07 07:30:25
71.24832,-145.2012,2021-03-07 07:40:26
71.24859,-145.20425,2021-03-07 07:50:26
