latitude,longitude,datetime
71.12204,-144.82417,2021-03-06 23:20:24
71.12222,-144.82755,2021-03-06 23:30:25
71.12242,-144.8309,2021-03-06 23:40:24
71.12262,-144.83424,2021-03-06 23:50:25
71.12285,-144.8378,2021-03-07 00:00:55
71.12302,-144.84093,2021-03-07 00:10:27
71.12319,-144.84416,2021-03-07 00:20:26
71.12337,-144.84738,2021-03-07 00:30:26
71.12355,-144.85063,2021-03-07 00:40:26
71.12371,-144.85381,2021-03-07 00:50:26
71.12388,-144.85693,2021-03-07 01:00:26
71.12404,-144.86005,2021-03-07 01:10:26
71.12419,-144.86313,2021-03-07 01:20:26
71.12437,-144.86621,2021-03-07 01:30:26
71.12454,-144.86928,2021-03-07 01:40:26
71.12471,-144.87228,2021-03-07 01:50:26
71.12492,-144.87527,2021-03-07 02:00:26
71.12509,-144.87823,2021-03-07 02:10:27
71.12524,-144.88118,2021-03-07 02:20:26
71.1254,-144.88412,2021-03-07 02:30:26
71.12563,-144.88719,2021-03-07 02:40:27
71.12579,-144.89018,2021-03-07 02:50:28
71.12596,-144.89301,2021-03-07 03:00:28
71.12614,-144.89586,2021-03-07 03:10:27
71.12635,-144.8989,2021-03-07 03:20:27
71.12652,-144.90157,2021-03-07 03:30:28
71.12672,-144.90459,2021-03-07 03:40:54
71.12692,-144.90732,2021-03-07 03:50:26
71.12714,-144.91016,2021-03-07 04:00:27
71.12734,-144.91298,2021-03-07 04:10:25
71.12756,-144.91583,2021-03-07 04:20:24
71.12775,-144.9187,2021-03-07 04:30:25
71.12798,-144.92157,2021-03-07 04:40:25
71.12819,-144.92439,2021-03-07 04:50:25
71.12843,-144.92723,2021-03-07 05:00:25
71.1286,-144.93016,2021-03-07 05:10:25
71.12881,-144.93303,2021-03-07 05:20:26
71.12904,-144.9359,2021-03-07 05:30:25
71.12926,-144.93884,2021-03-07 05:40:25
71.12948,-144.94174,2021-03-07 05:50:24
71.12972,-144.94481,2021-03-07 06:00:54
71.12994,-144.94762,2021-03-07 06:10:26
71.13016,-144.95056,2021-03-07 06:20:25
71.13039,-144.95349,2021-03-07 06:30:25
71.13061,-144.95645,2021-03-07 06:40:25
71.13084,-144.95941,2021-03-07 06:50:25
71.13107,-144.96242,2021-03-07 07:00:25
71.13131,-144.96545,2021-03-07 07:10:25
71.13154,-144.96848,2021-03-07 07:20:26
71.13176,-144.9715,2021-03-07 07:30:25
71.132,-144.97478,2021-03-07 07:40:25
71.13224,-144.97791,2021-03-07 07:50:27
71.13247,-144.98099,2021-03-07 08:00:26
71.13261,-144.98409,2021-03-07 08:10:30
71.13292,-144.98729,2021-03-07 08:20:25
71.13316,-144.99048,2021-03-07 08:30:25
71.1334,-144.99367,2021-03-07 08:40:26
71.13364,-144.99687,2021-03-07 08:50:26
71.13387,-145.00008,2021-03-07 09:00:26
71.13411,-145.0033,2021-03-07 09:10:26
71.13435,-145.00647,2021-03-07 09:20:26
71.1346,-145.00969,2021-03-07 09:30:24
71.13484,-145.01288,2021-03-07 09:40:25
71.13508,-145.01608,2021-03-07 09:50:25
71.13533,-145.01923,2021-03-07 10:00:25
71.1356,-145.0224,2021-03-07 10:10:25
71.13584,-145.02565,2021-03-07 10:20:25
71.1361,-145.02882,2021-03-07 10:30:24
71.13634,-145.032,2021-03-07 10:40:24
71.13657,-145.03522,2021-03-07 10:50:25
71.1368,-145.03833,2021-03-07 11:00:25
71.13701,-145.04147,2021-03-07 11:10:30
71.13725,-145.04442,2021-03-07 11:20:26
71.1375,-145.0475,2021-03-07 11:30:25
71.13771,-145.0506,2021-03-07 11:40:25
71.13794,-145.0536,2021-03-07 11:50:26
71.13813,-145.05661,2021-03-07 12:00:26
71.13833,-145.05959,2021-03-07 12:10:26
71.13851,-145.06253,2021-03-07 12:20:26
71.13869,-145.06543,2021-03-07 12:30:26
71.13886,-145.06831,2021-03-07 12:40:26
71.13904,-145.07117,2021-03-07 12:50:26
71.13921,-145.07401,2021-03-07 13:00:27
71.13938,-145.0768,2021-03-07 13:10:26
71.13955,-145.07959,2021-03-07 13:20:26
71.13971,-145.08234,2021-03-07 13:30:25
71.13986,-145.0851,2021-03-07 13:40:24
71.14001,-145.08777,2021-03-07 13:50:25
71.14018,-145.09064,2021-03-07 14:00:54
71.14034,-145.09319,2021-03-07 14:10:26
71.1405,-145.09586,2021-03-07 14:20:25
71.14063,-145.09851,2021-03-07 14:30:25
71.14079,-145.10114,2021-03-07 14:40:24
71.14095,-145.10373,2021-03-07 14:50:25
71.14111,-145.10629,2021-03-07 15:00:25
71.14124,-145.10883,2021-03-07 15:10:25
71.14137,-145.1114,2021-03-07 15:20:25
71.14143,-145.11397,2021-03-07 15:30:25
71.14167,-145.11661,2021-03-07 15:40:27
71.14182,-145.11905,2021-03-07 15:50:26
71.14195,-145.12151,2021-03-07 16:00:26
71.14208,-145.12399,2021-03-07 16:10:27
71.14226,-145.12639,2021-03-07 16:20:30
71.14241,-145.12875,2021-03-07 16:30:25
71.14256,-145.13113,2021-03-07 16:40:27
71.1427,-145.13356,2021-03-07 16:50:26
71.14283,-145.13593,2021-03-07 17:00:26
71.14294,-145.13828,2021-03-07 17:10:25
71.14304,-145.14059,2021-03-07 17:20:24
71.14314,-145.14297,2021-03-07 17:30:25
71.14327,-145.1454,2021-03-07 17:40:26
71.1434,-145.14786,2021-03-07 17:50:27
71.1435,-145.15028,2021-03-07 18:00:27
71.14361,-145.15268,2021-03-07 18:10:25
71.14369,-145.15504,2021-03-07 18:20:26
71.14377,-145.15739,2021-03-07 18:30:27
71.14388,-145.15974,2021-03-07 18:40:26
71.14397,-145.16228,2021-03-07 18:50:54
71.14408,-145.16452,2021-03-07 19:00:26
71.1442,-145.1669,2021-03-07 19:10:25
71.14431,-145.1693,2021-03-07 19:20:26
71.14445,-145.17166,2021-03-07 19:30:26
71.1446,-145.17404,2021-03-07 19:40:26
71.14474,-145.17635,2021-03-07 19:50:26
71.14489,-145.17857,2021-03-07 20:00:26
71.14503,-145.18092,2021-03-07 20:10:26
71.14509,-145.18335,2021-03-07 20:20:27
71.14517,-145.18582,2021-03-07 20:30:27
71.14529,-145.18826,2021-03-07 20:40:28
71.14535,-145.19077,2021-03-07 20:50:26
71.14545,-145.1933,2021-03-07 21:00:25
71.1456,-145.19591,2021-03-07 21:10:27
71.14575,-145.19853,2021-03-07 21:20:26
71.14588,-145.20113,2021-03-07 21:30:25
71.14601,-145.2037,2021-03-07 21:40:25
71.14614,-145.20628,2021-03-07 21:50:26
71.14627,-145.20915,2021-03-07 22:00:54
71.14641,-145.21173,2021-03-07 22:10:25
71.14658,-145.21449,2021-03-07 22:20:25
71.14674,-145.2173,2021-03-07 22:30:25
71.1469,-145.22008,2021-03-07 22:40:25
71.1471,-145.22289,2021-03-07 22:50:25
71.1473,-145.22565,2021-03-07 23:00:25
71.14752,-145.22845,2021-03-07 23:10:25
71.14775,-145.23126,2021-03-07 23:20:27
71.14796,-145.23415,2021-03-07 23:30:27
71.14816,-145.23676,2021-03-07 23:40:26
71.14838,-145.23953,2021-03-07 23:50:26
71.14861,-145.24225,2021-03-08 00:00:26
71.14884,-145.24495,2021-03-08 00:10:26
71.14906,-145.2476,2021-03-08 00:20:25
71.1493,-145.2502,2021-03-08 00:30:26
71.14951,-145.25284,2021-03-08 00:40:26
71.14979,-145.2554,2021-03-08 00:50:27
71.15004,-145.25789,2021-03-08 01:00:26
71.15031,-145.26042,2021-03-08 01:10:28
71.15057,-145.26297,2021-03-08 01:20:28
71.15088,-145.26564,2021-03-08 01:30:54
71.15114,-145.26805,2021-03-08 01:40:25
71.1514,-145.27057,2021-03-08 01:50:25
71.15166,-145.27306,2021-03-08 02:00:25
71.15192,-145.27554,2021-03-08 02:10:25
71.15218,-145.27802,2021-03-08 02:20:25
71.15244,-145.28047,2021-03-08 02:30:25
71.15271,-145.28293,2021-03-08 02:40:25
71.15298,-145.28532,2021-03-08 02:50:24
71.15322,-145.28775,2021-03-08 03:00:26
71.15352,-145.29019,2021-03-08 03:10:24
71.15381,-145.29259,2021-03-08 03:20:25
71.15411,-145.29498,2021-03-08 03:30:25
71.15441,-145.29739,2021-03-08 03:40:25
71.1547,-145.29984,2021-03-08 03:50:25
71.15501,-145.30226,2021-03-08 04:00:55
71.15528,-145.30447,2021-03-08 04:10:27
