latitude,longitude,datetime
71.26778,-145.14748,2021-03-06 23:30:25
71.26801,-145.15073,2021-03-06 23:40:25
71.26823,-145.15395,2021-03-06 23:50:25
71.26846,-145.15715,2021-03-07 00:00:27
71.26867,-145.16031,2021-03-07 00:10:25
71.26888,-145.16347,2021-03-07 00:20:25
71.26909,-145.1666,2021-03-07 00:30:25
71.26929,-145.16969,2021-03-07 00:40:24
71.26949,-145.17278,2021-03-07 00:50:24
71.26967,-145.17581,2021-03-07 01:00:24
71.26985,-145.17885,2021-03-07 01:10:25
71.27003,-145.18185,2021-03-07 01:20:26
71.27024,-145.185,2021-03-07 01:30:54
71.27044,-145.18782,2021-03-07 01:40:26
71.27063,-145.19075,2021-03-07 01:50:25
71.27082,-145.19366,2021-03-07 02:00:25
71.271,-145.19653,2021-03-07 02:10:25
71.2712,-145.1994,2021-03-07 02:20:25
71.27139,-145.20222,2021-03-07 02:30:25
71.27158,-145.20506,2021-03-07 02:40:25
71.27179,-145.20789,2021-03-07 02:50:25
71.27203,-145.21059,2021-03-07 03:00:25
71.27219,-145.21356,2021-03-07 03:10:25
71.27239,-145.21638,2021-03-07 03:20:25
71.27261,-145.21922,2021-03-07 03:30:26
71.27282,-145.22205,2021-03-07 03:40:26
71.27304,-145.22487,2021-03-07 03:50:26
71.27327,-145.22772,2021-03-07 04:00:55
71.27348,-145.23038,2021-03-07 04:10:26
71.2737,-145.23317,2021-03-07 04:20:26
71.27392,-145.23598,2021-03-07 04:30:26
71.27415,-145.23882,2021-03-07 04:40:29
71.27438,-145.24164,2021-03-07 04:50:29
71.27461,-145.24443,2021-03-07 05:00:27
71.27486,-145.24724,2021-03-07 05:10:27
71.27509,-145.25005,2021-03-07 05:20:27
71.27529,-145.25282,2021-03-07 05:30:26
71.27553,-145.25572,2021-03-07 05:40:26
71.27577,-145.25854,2021-03-07 05:50:26
71.27602,-145.26138,2021-03-07 06:00:25
71.27626,-145.26422,2021-03-07 06:10:25
71.27652,-145.26707,2021-03-07 06:20:25
71.27677,-145.26993,2021-03-07 06:30:24
71.27703,-145.27281,2021-03-07 06:40:27
71.27729,-145.2757,2021-03-07 06:50:27
71.27756,-145.27861,2021-03-07 07:00:27
71.27784,-145.28168,2021-03-07 07:10:54
71.27809,-145.28448,2021-03-07 07:20:26
71.27835,-145.28745,2021-03-07 07:30:25
71.27862,-145.29048,2021-03-07 07:40:25
71.27891,-145.29347,2021-03-07 07:50:25
71.27921,-145.2964,2021-03-07 08:00:24
71.27951,-145.29942,2021-03-07 08:10:25
71.27981,-145.30241,2021-03-07 08:20:25
71.2801,-145.30539,2021-03-07 08:30:25
71.28043,-145.30843,2021-03-07 08:40:26
71.28073,-145.31143,2021-03-07 08:50:26
71.28103,-145.31456,2021-03-07 09:00:25
71.28131,-145.31766,2021-03-07 09:10:25
71.28159,-145.32072,2021-03-07 09:20:26
71.28188,-145.32378,2021-03-07 09:30:26
71.28216,-145.32689,2021-03-07 09:40:27
71.28254,-145.33031,2021-03-07 09:50:27
71.28271,-145.33308,2021-03-07 10:00:55
71.28299,-145.33597,2021-03-07 10:10:26
71.28328,-145.33904,2021-03-07 10:20:26
71.28358,-145.34209,2021-03-07 10:30:25
71.28386,-145.34514,2021-03-07 10:40:26
71.28413,-145.34813,2021-03-07 10:50:26
71.28439,-145.3511,2021-03-07 11:00:26
