latitude,longitude,datetime
71.16731,-144.72913,2021-03-06 23:40:25
71.1675,-144.73242,2021-03-06 23:50:24
71.16766,-144.73569,2021-03-07 00:00:25
71.16785,-144.73894,2021-03-07 00:10:26
71.16802,-144.74217,2021-03-07 00:20:26
71.16818,-144.74538,2021-03-07 00:30:26
71.16834,-144.74855,2021-03-07 00:40:27
71.16849,-144.75171,2021-03-07 00:50:27
71.16861,-144.75482,2021-03-07 01:00:27
71.16879,-144.75792,2021-03-07 01:10:27
71.16895,-144.76099,2021-03-07 01:20:27
71.16917,-144.76422,2021-03-07 01:30:55
71.16932,-144.76709,2021-03-07 01:40:26
71.16949,-144.77008,2021-03-07 01:50:26
71.16965,-144.77303,2021-03-07 02:00:25
71.16982,-144.77597,2021-03-07 02:10:25
71.16998,-144.7789,2021-03-07 02:20:26
71.17014,-144.7818,2021-03-07 02:30:26
71.17032,-144.7847,2021-03-07 02:40:26
71.17051,-144.78758,2021-03-07 02:50:26
71.17072,-144.79047,2021-03-07 03:00:26
71.17085,-144.79333,2021-03-07 03:10:26
71.17104,-144.7962,2021-03-07 03:20:26
71.17123,-144.79907,2021-03-07 03:30:25
71.17142,-144.80194,2021-03-07 03:40:24
71.17161,-144.80478,2021-03-07 03:50:24
71.17182,-144.80771,2021-03-07 04:00:54
71.17201,-144.81039,2021-03-07 04:10:26
71.17221,-144.81323,2021-03-07 04:20:25
71.17242,-144.81609,2021-03-07 04:30:25
71.17262,-144.81894,2021-03-07 04:40:25
71.17284,-144.82178,2021-03-07 04:50:25
71.17305,-144.82465,2021-03-07 05:00:25
71.17326,-144.8275,2021-03-07 05:10:24
71.17347,-144.83034,2021-03-07 05:20:25
71.17365,-144.83315,2021-03-07 05:30:27
71.1739,-144.83607,2021-03-07 05:40:25
71.17412,-144.83894,2021-03-07 05:50:25
71.17435,-144.84187,2021-03-07 06:00:26
71.17458,-144.84479,2021-03-07 06:10:25
71.17479,-144.84769,2021-03-07 06:20:25
71.175,-144.8506,2021-03-07 06:30:26
71.17522,-144.85353,2021-03-07 06:40:26
71.17543,-144.85646,2021-03-07 06:50:28
71.17566,-144.85942,2021-03-07 07:00:27
71.17588,-144.86253,2021-03-07 07:10:55
71.1761,-144.8654,2021-03-07 07:20:26
71.17633,-144.86845,2021-03-07 07:30:25
71.17655,-144.87154,2021-03-07 07:40:26
71.17677,-144.87462,2021-03-07 07:50:26
71.17699,-144.8777,2021-03-07 08:00:26
71.17719,-144.88077,2021-03-07 08:10:26
71.17742,-144.88387,2021-03-07 08:20:27
71.17767,-144.88695,2021-03-07 08:30:25
71.17788,-144.89014,2021-03-07 08:40:25
71.1781,-144.89328,2021-03-07 08:50:25
71.17834,-144.89645,2021-03-07 09:00:26
71.17856,-144.89964,2021-03-07 09:10:27
71.17879,-144.90274,2021-03-07 09:20:26
71.17902,-144.9059,2021-03-07 09:30:25
71.17928,-144.90906,2021-03-07 09:40:24
71.17957,-144.91234,2021-03-07 09:50:27
71.1797,-144.91551,2021-03-07 10:00:54
71.17993,-144.9185,2021-03-07 10:10:26
71.18018,-144.92166,2021-03-07 10:20:25
71.18041,-144.9248,2021-03-07 10:30:25
71.18066,-144.92792,2021-03-07 10:40:25
71.18089,-144.93105,2021-03-07 10:50:26
71.18111,-144.9341,2021-03-07 11:00:26
71.18133,-144.93713,2021-03-07 11:10:26
71.18156,-144.94017,2021-03-07 11:20:26
71.18178,-144.94321,2021-03-07 11:30:26
71.18198,-144.94626,2021-03-07 11:40:26
71.1822,-144.9493,2021-03-07 11:50:28
71.1824,-144.95224,2021-03-07 12:00:26
71.18259,-144.95515,2021-03-07 12:10:26
