latitude,longitude,datetime
71.22215,-145.24069,2021-03-06 23:00:25
71.22237,-145.24396,2021-03-06 23:10:26
71.22261,-145.24724,2021-03-06 23:20:28
71.22282,-145.2505,2021-03-06 23:30:26
71.22305,-145.25375,2021-03-06 23:40:26
71.22327,-145.257,2021-03-06 23:50:26
71.22351,-145.26036,2021-03-07 00:00:54
71.22372,-145.26338,2021-03-07 00:10:26
71.22394,-145.26657,2021-03-07 00:20:26
71.22416,-145.26973,2021-03-07 00:30:26
71.22437,-145.27289,2021-03-07 00:40:26
71.22457,-145.27602,2021-03-07 00:50:26
71.22478,-145.27911,2021-03-07 01:00:26
71.22497,-145.28218,2021-03-07 01:10:27
71.22516,-145.28522,2021-03-07 01:20:26
71.22537,-145.28819,2021-03-07 01:30:26
71.22556,-145.29118,2021-03-07 01:40:27
71.22575,-145.29414,2021-03-07 01:50:26
71.22594,-145.29709,2021-03-07 02:00:26
71.22614,-145.30003,2021-03-07 02:10:27
71.22634,-145.30292,2021-03-07 02:20:26
71.22654,-145.30582,2021-03-07 02:30:26
71.22675,-145.30867,2021-03-07 02:40:26
71.22694,-145.31149,2021-03-07 02:50:26
71.22716,-145.31439,2021-03-07 03:00:26
71.22737,-145.31726,2021-03-07 03:10:26
71.22759,-145.32018,2021-03-07 03:20:26
71.22781,-145.32303,2021-03-07 03:30:26
71.22801,-145.32588,2021-03-07 03:40:54
71.22823,-145.32855,2021-03-07 03:50:27
71.22845,-145.33134,2021-03-07 04:00:29
71.22868,-145.33414,2021-03-07 04:10:28
71.22891,-145.33696,2021-03-07 04:20:28
71.22914,-145.33978,2021-03-07 04:30:27
71.22936,-145.34262,2021-03-07 04:40:27
71.22961,-145.34547,2021-03-07 04:50:27
71.22978,-145.34801,2021-03-07 05:00:27
71.23005,-145.35123,2021-03-07 05:10:54
71.23028,-145.35394,2021-03-07 05:20:27
71.23052,-145.35677,2021-03-07 05:30:26
71.23077,-145.35962,2021-03-07 05:40:26
71.23101,-145.36244,2021-03-07 05:50:25
71.23126,-145.3653,2021-03-07 06:00:25
71.23152,-145.36813,2021-03-07 06:10:25
71.23177,-145.37099,2021-03-07 06:20:25
71.23203,-145.37387,2021-03-07 06:30:24
71.23229,-145.37683,2021-03-07 06:40:25
71.23255,-145.3797,2021-03-07 06:50:24
71.23282,-145.38263,2021-03-07 07:00:25
71.23309,-145.38556,2021-03-07 07:10:25
71.23336,-145.38855,2021-03-07 07:20:26
71.23364,-145.39157,2021-03-07 07:30:26
71.23392,-145.39464,2021-03-07 07:40:25
71.23421,-145.39766,2021-03-07 07:50:25
71.23454,-145.40077,2021-03-07 08:00:54
71.23482,-145.40366,2021-03-07 08:10:26
71.23512,-145.40668,2021-03-07 08:20:25
71.23544,-145.40968,2021-03-07 08:30:25
71.23576,-145.4127,2021-03-07 08:40:26
71.23607,-145.41574,2021-03-07 08:50:25
71.23636,-145.41885,2021-03-07 09:00:25
71.23664,-145.42201,2021-03-07 09:10:26
71.23694,-145.42511,2021-03-07 09:20:26
71.23723,-145.42818,2021-03-07 09:30:26
71.23752,-145.43132,2021-03-07 09:40:25
