latitude,longitude,datetime
71.12305,-145.15854,2021-03-06 23:50:27
71.12325,-145.16182,2021-03-07 00:00:26
71.12347,-145.1651,2021-03-07 00:10:25
71.12367,-145.16838,2021-03-07 00:20:25
71.12388,-145.17165,2021-03-07 00:30:25
71.12408,-145.17488,2021-03-07 00:40:25
71.12428,-145.17805,2021-03-07 00:50:25
71.12447,-145.18124,2021-03-07 01:00:26
71.12466,-145.18436,2021-03-07 01:10:26
71.12483,-145.18745,2021-03-07 01:20:27
71.12505,-145.19067,2021-03-07 01:30:54
71.12524,-145.19359,2021-03-07 01:40:26
71.12543,-145.19661,2021-03-07 01:50:26
71.12562,-145.19962,2021-03-07 02:00:26
71.12581,-145.20258,2021-03-07 02:10:26
71.126,-145.20552,2021-03-07 02:20:26
71.12618,-145.20844,2021-03-07 02:30:25
71.12638,-145.21135,2021-03-07 02:40:25
71.12658,-145.21426,2021-03-07 02:50:25
71.12679,-145.21716,2021-03-07 03:00:24
71.12699,-145.22008,2021-03-07 03:10:25
71.1272,-145.22299,2021-03-07 03:20:25
71.12741,-145.22591,2021-03-07 03:30:25
71.12762,-145.22878,2021-03-07 03:40:25
71.12784,-145.23163,2021-03-07 03:50:25
71.12807,-145.23459,2021-03-07 04:00:54
71.12828,-145.23729,2021-03-07 04:10:28
71.1285,-145.24016,2021-03-07 04:20:28
71.12872,-145.24301,2021-03-07 04:30:29
71.12894,-145.24588,2021-03-07 04:40:25
71.12917,-145.24873,2021-03-07 04:50:24
71.12941,-145.25165,2021-03-07 05:00:29
71.12965,-145.2545,2021-03-07 05:10:25
71.12988,-145.25739,2021-03-07 05:20:25
71.13007,-145.26021,2021-03-07 05:30:25
71.13033,-145.26317,2021-03-07 05:40:24
71.13057,-145.26608,2021-03-07 05:50:25
71.13082,-145.26901,2021-03-07 06:00:25
71.13107,-145.27196,2021-03-07 06:10:25
71.13132,-145.2749,2021-03-07 06:20:25
71.13158,-145.27786,2021-03-07 06:30:25
71.13184,-145.28085,2021-03-07 06:40:27
71.13212,-145.28398,2021-03-07 06:50:55
71.13236,-145.28683,2021-03-07 07:00:26
71.13263,-145.28987,2021-03-07 07:10:26
71.13289,-145.29292,2021-03-07 07:20:26
71.13316,-145.29602,2021-03-07 07:30:26
71.13342,-145.29915,2021-03-07 07:40:25
71.13369,-145.30226,2021-03-07 07:50:25
71.13395,-145.30539,2021-03-07 08:00:28
71.13422,-145.30856,2021-03-07 08:10:26
71.1345,-145.31172,2021-03-07 08:20:26
71.13477,-145.3149,2021-03-07 08:30:26
71.13506,-145.31812,2021-03-07 08:40:27
71.13532,-145.32127,2021-03-07 08:50:25
71.13558,-145.32445,2021-03-07 09:00:24
71.13585,-145.32767,2021-03-07 09:10:25
71.13612,-145.33087,2021-03-07 09:20:25
71.13641,-145.33408,2021-03-07 09:30:25
71.13668,-145.33725,2021-03-07 09:40:25
71.13692,-145.34039,2021-03-07 09:50:25
71.13726,-145.34384,2021-03-07 10:00:54
71.13754,-145.34686,2021-03-07 10:10:25
71.13783,-145.35005,2021-03-07 10:20:25
71.13811,-145.35326,2021-03-07 10:30:25
71.1384,-145.35643,2021-03-07 10:40:25
71.13866,-145.35957,2021-03-07 10:50:25
71.13892,-145.36267,2021-03-07 11:00:25
71.13917,-145.36575,2021-03-07 11:10:25
71.13944,-145.36882,2021-03-07 11:20:25
71.13972,-145.37183,2021-03-07 11:30:25
71.13992,-145.37498,2021-03-07 11:40:25
71.14017,-145.37807,2021-03-07 11:50:26
71.14039,-145.38106,2021-03-07 12:00:26
71.14061,-145.38403,2021-03-07 12:10:27
71.14082,-145.38696,2021-03-07 12:20:26
71.14103,-145.38989,2021-03-07 12:30:27
71.14124,-145.39278,2021-03-07 12:40:26
71.14143,-145.39565,2021-03-07 12:50:26
71.14164,-145.39848,2021-03-07 13:00:26
71.14184,-145.40129,2021-03-07 13:10:26
71.14201,-145.40407,2021-03-07 13:20:26
71.1422,-145.40688,2021-03-07 13:30:25
71.1424,-145.40971,2021-03-07 13:40:54
71.14258,-145.41229,2021-03-07 13:50:27
71.14275,-145.41495,2021-03-07 14:00:25
71.14294,-145.41763,2021-03-07 14:10:27
71.14311,-145.42032,2021-03-07 14:20:26
71.1433,-145.42297,2021-03-07 14:30:24
71.14347,-145.4256,2021-03-07 14:40:25
71.14365,-145.42818,2021-03-07 14:50:25
71.14381,-145.43074,2021-03-07 15:00:26
71.14397,-145.43329,2021-03-07 15:10:26
71.14413,-145.4359,2021-03-07 15:20:25
71.14428,-145.43852,2021-03-07 15:30:25
71.14444,-145.44109,2021-03-07 15:40:26
71.14459,-145.44354,2021-03-07 15:50:28
71.14477,-145.44615,2021-03-07 16:00:55
71.14491,-145.44853,2021-03-07 16:10:26
71.14509,-145.45096,2021-03-07 16:20:26
71.14526,-145.45331,2021-03-07 16:30:25
71.14543,-145.45573,2021-03-07 16:40:26
71.14558,-145.45816,2021-03-07 16:50:26
71.14572,-145.46056,2021-03-07 17:00:26
71.14589,-145.46292,2021-03-07 17:10:27
71.14605,-145.4653,2021-03-07 17:20:25
71.14619,-145.46768,2021-03-07 17:30:24
71.14634,-145.47012,2021-03-07 17:40:25
71.14646,-145.47256,2021-03-07 17:50:25
71.14658,-145.47504,2021-03-07 18:00:25
71.14671,-145.47746,2021-03-07 18:10:25
71.14686,-145.47984,2021-03-07 18:20:25
71.14699,-145.48222,2021-03-07 18:30:25
71.14713,-145.48457,2021-03-07 18:40:24
71.14727,-145.48705,2021-03-07 18:50:54
71.14741,-145.4893,2021-03-07 19:00:26
71.14756,-145.49167,2021-03-07 19:10:25
71.14771,-145.49408,2021-03-07 19:20:25
71.14786,-145.49646,2021-03-07 19:30:25
71.14801,-145.49886,2021-03-07 19:40:27
71.14816,-145.50121,2021-03-07 19:50:27
71.14833,-145.50352,2021-03-07 20:00:25
71.14851,-145.50586,2021-03-07 20:10:25
71.14868,-145.50832,2021-03-07 20:20:26
71.14886,-145.51086,2021-03-07 20:30:26
71.14903,-145.51343,2021-03-07 20:40:25
71.14922,-145.51602,2021-03-07 20:50:26
71.14938,-145.51866,2021-03-07 21:00:26
71.14954,-145.52136,2021-03-07 21:10:26
71.14973,-145.52403,2021-03-07 21:20:26
71.14993,-145.52672,2021-03-07 21:30:26
71.15013,-145.52939,2021-03-07 21:40:25
71.15034,-145.53204,2021-03-07 21:50:24
71.1506,-145.53479,2021-03-07 22:00:54
71.15083,-145.53729,2021-03-07 22:10:27
71.15106,-145.53996,2021-03-07 22:20:25
71.15131,-145.54274,2021-03-07 22:30:27
71.15154,-145.5455,2021-03-07 22:40:26
71.15177,-145.54832,2021-03-07 22:50:25
71.152,-145.55116,2021-03-07 23:00:25
71.15223,-145.55403,2021-03-07 23:10:27
71.15246,-145.55685,2021-03-07 23:20:25
71.15268,-145.55968,2021-03-07 23:30:25
71.1529,-145.5625,2021-03-07 23:40:25
71.15313,-145.56531,2021-03-07 23:50:26
71.15335,-145.56804,2021-03-08 00:00:26
71.15357,-145.57076,2021-03-08 00:10:25
71.15379,-145.57344,2021-03-08 00:20:28
71.15402,-145.57608,2021-03-08 00:30:26
71.15426,-145.57874,2021-03-08 00:40:26
71.15449,-145.58131,2021-03-08 00:50:26
71.15473,-145.58383,2021-03-08 01:00:26
