latitude,longitude,datetime
70.92648,-147.26071,2021-03-13 06:40:27
70.9267,-147.26137,2021-03-13 06:50:27
70.92681,-147.26204,2021-03-13 07:00:27
70.92695,-147.2627,2021-03-13 07:10:27
70.92711,-147.26337,2021-03-13 07:20:26
70.92727,-147.26407,2021-03-13 07:30:26
70.92744,-147.26483,2021-03-13 07:40:54
70.92761,-147.26556,2021-03-13 07:50:26
70.9278,-147.26634,2021-03-13 08:00:26
70.92799,-147.26714,2021-03-13 08:10:26
70.92819,-147.26793,2021-03-13 08:20:25
70.92839,-147.26877,2021-03-13 08:30:24
70.9286,-147.26961,2021-03-13 08:40:25
70.92882,-147.27048,2021-03-13 08:50:27
70.92903,-147.27136,2021-03-13 09:00:25
70.92926,-147.27229,2021-03-13 09:10:25
70.9295,-147.27322,2021-03-13 09:20:25
70.92973,-147.2742,2021-03-13 09:30:24
70.92999,-147.27519,2021-03-13 09:40:24
70.93026,-147.27621,2021-03-13 09:50:25
70.93053,-147.27725,2021-03-13 10:00:54
70.93079,-147.27826,2021-03-13 10:10:26
70.93108,-147.27937,2021-03-13 10:20:25
70.93138,-147.28052,2021-03-13 10:30:25
70.9317,-147.28169,2021-03-13 10:40:24
70.93205,-147.28288,2021-03-13 10:50:26
70.9324,-147.2841,2021-03-13 11:00:26
70.93279,-147.28539,2021-03-13 11:10:26
70.93319,-147.28668,2021-03-13 11:20:26
70.93362,-147.28789,2021-03-13 11:30:26
70.93399,-147.28928,2021-03-13 11:40:26
70.93444,-147.29059,2021-03-13 11:50:25
70.93491,-147.2919,2021-03-13 12:00:29
70.93539,-147.29321,2021-03-13 12:10:31
70.93584,-147.29445,2021-03-13 12:20:27
70.93633,-147.29576,2021-03-13 12:30:27
70.93682,-147.29707,2021-03-13 12:40:27
70.93732,-147.29839,2021-03-13 12:50:25
70.93782,-147.29971,2021-03-13 13:00:25
70.93833,-147.30106,2021-03-13 13:10:24
70.93884,-147.3024,2021-03-13 13:20:25
70.93936,-147.30376,2021-03-13 13:30:26
70.93987,-147.3051,2021-03-13 13:40:25
70.9404,-147.30644,2021-03-13 13:50:26
70.94093,-147.30779,2021-03-13 14:00:25
70.94144,-147.3091,2021-03-13 14:10:24
70.94198,-147.31053,2021-03-13 14:20:25
70.94251,-147.312,2021-03-13 14:30:26
70.94307,-147.31349,2021-03-13 14:40:29
70.94366,-147.31505,2021-03-13 14:50:54
70.94422,-147.31648,2021-03-13 15:00:28
70.9448,-147.31798,2021-03-13 15:10:25
70.94539,-147.31952,2021-03-13 15:20:25
70.946,-147.32109,2021-03-13 15:30:26
70.94661,-147.32266,2021-03-13 15:40:26
70.94722,-147.32425,2021-03-13 15:50:26
70.94785,-147.32582,2021-03-13 16:00:26
70.94846,-147.32738,2021-03-13 16:10:26
70.9491,-147.32895,2021-03-13 16:20:26
70.94973,-147.33055,2021-03-13 16:30:26
70.95036,-147.33217,2021-03-13 16:40:25
70.951,-147.33382,2021-03-13 16:50:26
70.95163,-147.33546,2021-03-13 17:00:26
70.95227,-147.33711,2021-03-13 17:10:32
70.9529,-147.3387,2021-03-13 17:20:26
70.95353,-147.34033,2021-03-13 17:30:26
70.95415,-147.34196,2021-03-13 17:40:26
70.95477,-147.34363,2021-03-13 17:50:25
70.95538,-147.34532,2021-03-13 18:00:24
70.95598,-147.34705,2021-03-13 18:10:25
70.95657,-147.34875,2021-03-13 18:20:26
70.95717,-147.35048,2021-03-13 18:30:26
70.95776,-147.3522,2021-03-13 18:40:25
70.95836,-147.35393,2021-03-13 18:50:26
70.95895,-147.35567,2021-03-13 19:00:25
70.95952,-147.35738,2021-03-13 19:10:24
70.96011,-147.35912,2021-03-13 19:20:24
70.96069,-147.36081,2021-03-13 19:30:25
70.96127,-147.36252,2021-03-13 19:40:25
70.96185,-147.36421,2021-03-13 19:50:26
70.96249,-147.36606,2021-03-13 20:00:54
70.96304,-147.36777,2021-03-13 20:10:26
70.96364,-147.36954,2021-03-13 20:20:25
70.96423,-147.37135,2021-03-13 20:30:25
70.96484,-147.37318,2021-03-13 20:40:24
70.96544,-147.375,2021-03-13 20:50:25
70.96605,-147.37682,2021-03-13 21:00:27
70.96667,-147.3786,2021-03-13 21:10:26
70.96729,-147.38042,2021-03-13 21:20:26
70.96791,-147.38226,2021-03-13 21:30:26
70.96854,-147.38411,2021-03-13 21:40:26
70.96918,-147.38597,2021-03-13 21:50:26
70.96983,-147.38783,2021-03-13 22:00:26
70.97049,-147.38968,2021-03-13 22:10:26
70.97115,-147.39153,2021-03-13 22:20:25
70.97181,-147.39336,2021-03-13 22:30:26
70.97248,-147.39519,2021-03-13 22:40:27
