latitude,longitude,datetime
71.15642,-144.89227,2021-03-06 23:40:25
71.15663,-144.89561,2021-03-06 23:50:27
71.15681,-144.89891,2021-03-07 00:00:25
71.15702,-144.90218,2021-03-07 00:10:24
71.1572,-144.90543,2021-03-07 00:20:25
71.15737,-144.90863,2021-03-07 00:30:25
71.15756,-144.91182,2021-03-07 00:40:27
71.15774,-144.91496,2021-03-07 00:50:26
71.15791,-144.91809,2021-03-07 01:00:26
71.15807,-144.92122,2021-03-07 01:10:26
71.15826,-144.92427,2021-03-07 01:20:28
71.15843,-144.92752,2021-03-07 01:30:54
71.1586,-144.93039,2021-03-07 01:40:26
71.15878,-144.93338,2021-03-07 01:50:25
71.15894,-144.93637,2021-03-07 02:00:28
71.15913,-144.9393,2021-03-07 02:10:25
71.1593,-144.94223,2021-03-07 02:20:25
71.15947,-144.94514,2021-03-07 02:30:25
71.15965,-144.94804,2021-03-07 02:40:24
71.15984,-144.95093,2021-03-07 02:50:25
71.16002,-144.95383,2021-03-07 03:00:26
71.16022,-144.9567,2021-03-07 03:10:26
71.16042,-144.95961,2021-03-07 03:20:26
71.16062,-144.96246,2021-03-07 03:30:27
71.16082,-144.96536,2021-03-07 03:40:29
71.16115,-144.96799,2021-03-07 03:50:30
71.16122,-144.97099,2021-03-07 04:00:27
71.16145,-144.97379,2021-03-07 04:10:27
71.16166,-144.97659,2021-03-07 04:20:25
71.16186,-144.97949,2021-03-07 04:30:26
71.16208,-144.98235,2021-03-07 04:40:26
71.16229,-144.98521,2021-03-07 04:50:26
71.1625,-144.98807,2021-03-07 05:00:26
71.16272,-144.99109,2021-03-07 05:10:54
71.16293,-144.9938,2021-03-07 05:20:26
71.16315,-144.99666,2021-03-07 05:30:26
71.16338,-144.99951,2021-03-07 05:40:26
71.1636,-145.0024,2021-03-07 05:50:24
71.16384,-145.00533,2021-03-07 06:00:26
71.16407,-145.00821,2021-03-07 06:10:25
71.16431,-145.01112,2021-03-07 06:20:25
71.16453,-145.01404,2021-03-07 06:30:25
71.16476,-145.01704,2021-03-07 06:40:25
71.16499,-145.02,2021-03-07 06:50:26
71.16523,-145.02295,2021-03-07 07:00:25
71.16547,-145.026,2021-03-07 07:10:27
71.1657,-145.02902,2021-03-07 07:20:27
71.16595,-145.03209,2021-03-07 07:30:26
71.1662,-145.03519,2021-03-07 07:40:26
71.16644,-145.03831,2021-03-07 07:50:26
71.16667,-145.04143,2021-03-07 08:00:54
71.16689,-145.04439,2021-03-07 08:10:26
71.16713,-145.04749,2021-03-07 08:20:25
71.16738,-145.05066,2021-03-07 08:30:26
71.16762,-145.05382,2021-03-07 08:40:26
71.16786,-145.05696,2021-03-07 08:50:27
71.16811,-145.06013,2021-03-07 09:00:26
71.16836,-145.06331,2021-03-07 09:10:26
71.16861,-145.06648,2021-03-07 09:20:28
71.16886,-145.06964,2021-03-07 09:30:25
71.16912,-145.07281,2021-03-07 09:40:25
71.16936,-145.07597,2021-03-07 09:50:26
71.16961,-145.07913,2021-03-07 10:00:26
71.16988,-145.08228,2021-03-07 10:10:27
71.17014,-145.08542,2021-03-07 10:20:27
71.17039,-145.08858,2021-03-07 10:30:25
71.17065,-145.09172,2021-03-07 10:40:24
71.17088,-145.09485,2021-03-07 10:50:25
71.17112,-145.09792,2021-03-07 11:00:25
71.17136,-145.10098,2021-03-07 11:10:26
71.17159,-145.10419,2021-03-07 11:20:54
71.17182,-145.10712,2021-03-07 11:30:26
71.17204,-145.11017,2021-03-07 11:40:25
71.17227,-145.11319,2021-03-07 11:50:24
71.17246,-145.11615,2021-03-07 12:00:25
71.17266,-145.11909,2021-03-07 12:10:25
71.17285,-145.12199,2021-03-07 12:20:25
71.17303,-145.12491,2021-03-07 12:30:25
71.17321,-145.12781,2021-03-07 12:40:28
71.17339,-145.13063,2021-03-07 12:50:26
71.17357,-145.13345,2021-03-07 13:00:27
71.17376,-145.1362,2021-03-07 13:10:27
71.17393,-145.13895,2021-03-07 13:20:26
71.1741,-145.14169,2021-03-07 13:30:26
71.17427,-145.14441,2021-03-07 13:40:26
71.17444,-145.14706,2021-03-07 13:50:25
71.17459,-145.14984,2021-03-07 14:00:55
71.17474,-145.15237,2021-03-07 14:10:27
71.1749,-145.15501,2021-03-07 14:20:26
71.17506,-145.15765,2021-03-07 14:30:26
71.17522,-145.16026,2021-03-07 14:40:27
71.17536,-145.16283,2021-03-07 14:50:25
71.17553,-145.16537,2021-03-07 15:00:24
71.17566,-145.16789,2021-03-07 15:10:25
71.17583,-145.17053,2021-03-07 15:20:25
71.17595,-145.17313,2021-03-07 15:30:25
71.1761,-145.17567,2021-03-07 15:40:25
71.17625,-145.17813,2021-03-07 15:50:25
71.17641,-145.18057,2021-03-07 16:00:25
71.17657,-145.18304,2021-03-07 16:10:25
71.17673,-145.18544,2021-03-07 16:20:26
71.17689,-145.1877,2021-03-07 16:30:26
71.17703,-145.19028,2021-03-07 16:40:53
71.17718,-145.1926,2021-03-07 16:50:25
71.17731,-145.19496,2021-03-07 17:00:25
71.17747,-145.19734,2021-03-07 17:10:26
71.17763,-145.19972,2021-03-07 17:20:26
71.17776,-145.20207,2021-03-07 17:30:27
71.17789,-145.20447,2021-03-07 17:40:26
71.17802,-145.20691,2021-03-07 17:50:25
71.17812,-145.20938,2021-03-07 18:00:26
71.17825,-145.21178,2021-03-07 18:10:26
71.17837,-145.2142,2021-03-07 18:20:31
71.17847,-145.21655,2021-03-07 18:30:27
71.17859,-145.21889,2021-03-07 18:40:26
71.17871,-145.22116,2021-03-07 18:50:26
71.17885,-145.22354,2021-03-07 19:00:25
71.17897,-145.22589,2021-03-07 19:10:25
71.17909,-145.22824,2021-03-07 19:20:25
71.17924,-145.23059,2021-03-07 19:30:25
71.1794,-145.23299,2021-03-07 19:40:25
71.17954,-145.23535,2021-03-07 19:50:25
71.1797,-145.23772,2021-03-07 20:00:24
71.17986,-145.24004,2021-03-07 20:10:25
71.17999,-145.24246,2021-03-07 20:20:28
71.18017,-145.24495,2021-03-07 20:30:27
71.18036,-145.24754,2021-03-07 20:40:27
71.18051,-145.25008,2021-03-07 20:50:32
71.18068,-145.2527,2021-03-07 21:00:25
71.18083,-145.25537,2021-03-07 21:10:25
71.181,-145.25806,2021-03-07 21:20:26
71.18119,-145.26071,2021-03-07 21:30:26
71.18139,-145.26335,2021-03-07 21:40:26
71.18159,-145.26602,2021-03-07 21:50:26
71.18182,-145.26863,2021-03-07 22:00:26
71.18204,-145.27124,2021-03-07 22:10:25
71.18227,-145.27393,2021-03-07 22:20:26
71.18251,-145.27666,2021-03-07 22:30:26
71.1827,-145.27942,2021-03-07 22:40:26
71.18291,-145.28221,2021-03-07 22:50:27
71.18317,-145.28502,2021-03-07 23:00:26
71.18338,-145.28784,2021-03-07 23:10:26
71.18355,-145.2906,2021-03-07 23:20:25
71.18377,-145.29347,2021-03-07 23:30:26
71.18397,-145.29623,2021-03-07 23:40:27
71.18418,-145.29918,2021-03-07 23:50:54
71.18439,-145.3018,2021-03-08 00:00:26
71.18461,-145.3045,2021-03-08 00:10:25
71.18481,-145.30717,2021-03-08 00:20:25
71.18505,-145.30981,2021-03-08 00:30:25
71.18528,-145.31242,2021-03-08 00:40:26
71.18549,-145.31499,2021-03-08 00:50:26
71.18572,-145.31747,2021-03-08 01:00:25
71.18594,-145.31999,2021-03-08 01:10:27
71.18617,-145.32257,2021-03-08 01:20:25
71.18639,-145.32512,2021-03-08 01:30:24
71.18662,-145.32767,2021-03-08 01:40:25
71.18685,-145.33018,2021-03-08 01:50:26
71.18711,-145.33284,2021-03-08 02:00:55
71.18732,-145.33521,2021-03-08 02:10:30
71.18755,-145.33769,2021-03-08 02:20:26
71.18779,-145.34018,2021-03-08 02:30:26
71.18803,-145.34267,2021-03-08 02:40:27
71.18829,-145.34514,2021-03-08 02:50:27
71.18858,-145.34761,2021-03-08 03:00:27
71.18886,-145.35005,2021-03-08 03:10:26
71.18915,-145.35248,2021-03-08 03:20:26
71.18945,-145.3549,2021-03-08 03:30:26
71.18973,-145.35736,2021-03-08 03:40:27
71.19,-145.35976,2021-03-08 03:50:25
71.1903,-145.36217,2021-03-08 04:00:25
71.1906,-145.36462,2021-03-08 04:10:28
71.19087,-145.36702,2021-03-08 04:20:29
71.19117,-145.3694,2021-03-08 04:30:28
71.19148,-145.37186,2021-03-08 04:40:30
71.19173,-145.37421,2021-03-08 04:50:26
71.19201,-145.37663,2021-03-08 05:00:25
71.19229,-145.37906,2021-03-08 05:10:24
71.1926,-145.38148,2021-03-08 05:20:25
71.19289,-145.3839,2021-03-08 05:30:25
71.19321,-145.38635,2021-03-08 05:40:26
71.19354,-145.38889,2021-03-08 05:50:26
71.19389,-145.3914,2021-03-08 06:00:25
71.19424,-145.39401,2021-03-08 06:10:26
71.1946,-145.39668,2021-03-08 06:20:26
71.19499,-145.3994,2021-03-08 06:30:27
71.1954,-145.40225,2021-03-08 06:40:27
71.19584,-145.40509,2021-03-08 06:50:27
71.19629,-145.4079,2021-03-08 07:00:26
71.19675,-145.41083,2021-03-08 07:10:26
71.19723,-145.41385,2021-03-08 07:20:55
71.19768,-145.41661,2021-03-08 07:30:25
71.19815,-145.41954,2021-03-08 07:40:26
71.19862,-145.42247,2021-03-08 07:50:26
71.19909,-145.42543,2021-03-08 08:00:27
71.19957,-145.42847,2021-03-08 08:10:28
71.20007,-145.43156,2021-03-08 08:20:28
71.20056,-145.43472,2021-03-08 08:30:24
71.20109,-145.43796,2021-03-08 08:40:24
71.20163,-145.44125,2021-03-08 08:50:25
71.20221,-145.44464,2021-03-08 09:00:25
71.20277,-145.44804,2021-03-08 09:10:26
71.20336,-145.45152,2021-03-08 09:20:25
71.20397,-145.45506,2021-03-08 09:30:25
71.20458,-145.45868,2021-03-08 09:40:26
71.20522,-145.46243,2021-03-08 09:50:28
71.20582,-145.46613,2021-03-08 10:00:54
71.20645,-145.4697,2021-03-08 10:10:27
71.20712,-145.47345,2021-03-08 10:20:26
71.20778,-145.47726,2021-03-08 10:30:25
71.20846,-145.48111,2021-03-08 10:40:25
71.20916,-145.48503,2021-03-08 10:50:25
71.20986,-145.48895,2021-03-08 11:00:26
71.21059,-145.49286,2021-03-08 11:10:27
71.21129,-145.49675,2021-03-08 11:20:27
71.21198,-145.50064,2021-03-08 11:30:27
71.21265,-145.50456,2021-03-08 11:40:28
71.21333,-145.50839,2021-03-08 11:50:26
71.21403,-145.51218,2021-03-08 12:00:25
71.21474,-145.51601,2021-03-08 12:10:27
71.21548,-145.51982,2021-03-08 12:20:26
71.21622,-145.5237,2021-03-08 12:30:27
71.21701,-145.52766,2021-03-08 12:40:28
71.21784,-145.53162,2021-03-08 12:50:27
71.21865,-145.53572,2021-03-08 13:00:29
71.21947,-145.53978,2021-03-08 13:10:26
