latitude,longitude,datetime
71.73747,-149.08607,2021-03-17 21:00:26
71.73734,-149.08835,2021-03-17 21:10:26
71.73718,-149.0907,2021-03-17 21:20:26
71.73705,-149.09297,2021-03-17 21:30:26
71.7369,-149.09523,2021-03-17 21:40:26
71.73676,-149.09752,2021-03-17 21:50:26
71.7366,-149.09995,2021-03-17 22:00:54
71.73643,-149.1022,2021-03-17 22:10:26
71.73627,-149.10463,2021-03-17 22:20:26
71.73609,-149.10703,2021-03-17 22:30:25
71.73593,-149.10933,2021-03-17 22:40:24
71.73576,-149.11162,2021-03-17 22:50:26
71.7356,-149.11394,2021-03-17 23:00:26
71.73542,-149.11627,2021-03-17 23:10:25
71.73523,-149.11855,2021-03-17 23:20:25
71.73504,-149.12091,2021-03-17 23:30:25
71.73479,-149.12321,2021-03-17 23:40:25
71.73457,-149.1256,2021-03-17 23:50:25
71.73443,-149.12808,2021-03-18 00:00:25
71.73426,-149.13068,2021-03-18 00:10:24
71.73408,-149.13301,2021-03-18 00:20:26
71.73389,-149.13541,2021-03-18 00:30:26
71.73366,-149.13811,2021-03-18 00:40:54
71.73344,-149.14058,2021-03-18 00:50:27
71.73323,-149.14308,2021-03-18 01:00:25
71.73302,-149.14563,2021-03-18 01:10:26
71.73283,-149.14816,2021-03-18 01:20:25
71.73264,-149.15074,2021-03-18 01:30:25
71.73246,-149.15327,2021-03-18 01:40:24
71.73227,-149.15579,2021-03-18 01:50:25
71.7322,-149.15826,2021-03-18 02:00:25
71.73191,-149.16078,2021-03-18 02:10:26
71.73174,-149.1633,2021-03-18 02:20:26
71.73156,-149.16579,2021-03-18 02:30:26
71.73139,-149.16821,2021-03-18 02:40:27
71.73123,-149.17065,2021-03-18 02:50:27
71.73105,-149.17299,2021-03-18 03:00:27
71.73085,-149.1752,2021-03-18 03:10:27
71.73064,-149.17735,2021-03-18 03:20:26
71.7305,-149.17958,2021-03-18 03:30:27
71.73036,-149.18176,2021-03-18 03:40:28
71.73023,-149.18388,2021-03-18 03:50:29
71.72995,-149.18614,2021-03-18 04:00:54
71.72971,-149.18806,2021-03-18 04:10:27
71.72948,-149.19012,2021-03-18 04:20:27
71.72923,-149.19217,2021-03-18 04:30:26
71.72899,-149.19417,2021-03-18 04:40:24
71.72872,-149.19612,2021-03-18 04:50:24
71.72845,-149.19803,2021-03-18 05:00:25
71.7282,-149.19991,2021-03-18 05:10:25
71.72797,-149.20168,2021-03-18 05:20:25
71.72775,-149.20329,2021-03-18 05:30:26
