latitude,longitude,datetime
71.89453,-148.7926,2021-03-17 21:20:26
71.89439,-148.79486,2021-03-17 21:30:26
71.89425,-148.79715,2021-03-17 21:40:26
71.89411,-148.79945,2021-03-17 21:50:26
71.89395,-148.80183,2021-03-17 22:00:54
71.89381,-148.804,2021-03-17 22:10:26
71.89365,-148.80632,2021-03-17 22:20:26
71.89351,-148.8087,2021-03-17 22:30:26
71.89337,-148.81108,2021-03-17 22:40:25
71.89323,-148.81348,2021-03-17 22:50:24
71.8931,-148.81592,2021-03-17 23:00:25
71.89297,-148.81837,2021-03-17 23:10:25
71.89285,-148.82086,2021-03-17 23:20:25
71.89275,-148.82338,2021-03-17 23:30:25
71.89258,-148.82585,2021-03-17 23:40:25
71.89242,-148.82834,2021-03-17 23:50:25
71.89228,-148.83086,2021-03-18 00:00:25
71.89215,-148.83337,2021-03-18 00:10:25
71.89201,-148.83594,2021-03-18 00:20:26
71.89188,-148.8385,2021-03-18 00:30:25
71.89175,-148.84113,2021-03-18 00:40:54
71.89162,-148.84351,2021-03-18 00:50:25
71.89151,-148.84607,2021-03-18 01:00:25
71.8914,-148.84859,2021-03-18 01:10:26
71.89129,-148.85107,2021-03-18 01:20:25
71.89117,-148.85358,2021-03-18 01:30:25
71.89107,-148.85603,2021-03-18 01:40:25
71.89096,-148.85844,2021-03-18 01:50:25
71.89083,-148.86082,2021-03-18 02:00:25
71.89069,-148.86322,2021-03-18 02:10:26
71.8906,-148.86555,2021-03-18 02:20:26
71.89053,-148.86781,2021-03-18 02:30:26
71.89045,-148.87006,2021-03-18 02:40:26
71.89033,-148.87225,2021-03-18 02:50:27
71.89022,-148.87445,2021-03-18 03:00:27
71.89008,-148.87659,2021-03-18 03:10:26
71.88993,-148.87868,2021-03-18 03:20:26
71.88979,-148.88069,2021-03-18 03:30:26
71.88964,-148.88264,2021-03-18 03:40:25
71.88948,-148.88458,2021-03-18 03:50:25
71.88928,-148.88655,2021-03-18 04:00:55
71.88912,-148.88834,2021-03-18 04:10:26
71.88895,-148.89015,2021-03-18 04:20:27
