,year,u,v,sp,open_sp,close_sp,num_open,num_close,wnw_comp
0,2003,-3.528379440307617,0.08862259238958359,6.163389205932617,9.068107604980469,2.958183526992798,32.0,29.0,3.2937119456745747
1,2004,-1.8433808088302612,0.2342207431793213,2.898801803588867,4.9648823738098145,1.9641454219818115,19.0,42.0,1.7926941978333442
2,2005,-3.0772199630737305,0.2320953756570816,4.877799034118652,6.999874591827393,3.5933854579925537,23.0,38.0,2.9317995959114738
3,2006,-2.2682647705078125,0.056015342473983765,3.792795181274414,9.53083324432373,2.387561321258545,12.0,49.0,2.117039539311629
4,2007,-3.5028793811798096,0.40992361307144165,5.561175346374512,9.741178512573242,2.6583948135375977,25.0,36.0,3.393109540385506
5,2008,-5.51612663269043,1.3131691217422485,7.391411781311035,11.043793678283691,4.0814409255981445,29.0,32.0,5.5987645614672665
6,2009,-4.460926055908203,0.5478423237800598,6.300198554992676,9.909348487854004,4.264266014099121,22.0,39.0,4.331008459958909
7,2010,-3.624502658843994,-0.07223154604434967,4.769659996032715,6.354799747467041,3.6688690185546875,25.0,36.0,3.3209620060734166
8,2011,-1.1245839595794678,0.0967947319149971,3.6303157806396484,4.584682941436768,3.3718414306640625,13.0,48.0,1.07602184309006
9,2012,-2.1942636966705322,0.4023771584033966,3.3790361881256104,,,0.0,0.0,2.1812183903695823
10,2013,-5.677046298980713,-0.2014286369085312,9.05466365814209,16.311437606811523,5.771836757659912,19.0,42.0,5.167823478598454
11,2014,-2.35219144821167,0.5078215599060059,4.023354530334473,5.436102867126465,2.4644598960876465,32.0,29.0,2.3674764331246685
12,2015,-4.574202060699463,0.529981255531311,6.460493564605713,8.165791511535645,3.643044948577881,38.0,23.0,4.428826707407066
13,2016,-14.475290298461914,1.8116604089736938,15.452282905578613,18.703414916992188,3.4481019973754883,48.0,13.0,14.066716857494153
14,2017,-4.471879482269287,0.5542124509811401,7.371619701385498,12.669113159179688,3.436338186264038,26.0,35.0,4.343565848526696
15,2018,-8.67520523071289,1.4877190589904785,9.996512413024902,11.480538368225098,4.517032146453857,48.0,13.0,8.584169988879932
16,2019,-4.926103591918945,0.49440333247184753,7.122891902923584,7.315632343292236,6.149285793304443,47.0,11.0,4.740326247847311
17,2020,1.0000461339950562,0.6372977495193481,5.998505115509033,6.906979084014893,3.647162914276123,44.0,17.0,-0.6800388645404607
18,2021,-4.558679580688477,1.7226914167404175,7.567625045776367,11.779964447021484,4.222531795501709,27.0,34.0,4.870916224139321
19,2022,-5.1402907371521,0.7108967304229736,7.4696946144104,9.092897415161133,4.592197418212891,39.0,22.0,5.021057804067563
