,year,u,v,sp,open_sp,close_sp,num_open,num_close
0,2003,-2.829521656036377,-0.2825874090194702,5.7309956550598145,6.922128200531006,4.369702339172363,64.0,56.0
1,2004,-2.627594470977783,-1.5244930982589722,5.93726110458374,7.4284796714782715,5.254533290863037,38.0,83.0
2,2005,-1.9586652517318726,-0.9420315027236938,6.618749141693115,8.335328102111816,5.760458946228027,40.0,80.0
3,2006,-0.4682060182094574,-0.46411997079849243,5.329663276672363,7.434873580932617,4.564132213592529,32.0,88.0
4,2007,-2.4269721508026123,-0.44339874386787415,5.588248252868652,7.563675403594971,4.402991771697998,45.0,75.0
5,2008,-2.5007381439208984,-0.7843234539031982,6.002665042877197,7.080287933349609,5.134133338928223,54.0,67.0
6,2009,-1.5168709754943848,-0.216295525431633,5.688644886016846,7.368752956390381,4.848590850830078,40.0,80.0
7,2010,-1.960976481437683,-0.8750817179679871,5.952328205108643,7.289002895355225,5.0992350578308105,43.0,75.0
8,2011,-0.03865915909409523,0.03527049347758293,5.437851905822754,6.453402996063232,5.084120750427246,31.0,89.0
9,2012,-1.8235182762145996,-1.3731309175491333,5.706658363342285,,,0.0,0.0
10,2013,-2.848100423812866,-2.0548274517059326,6.6095356941223145,8.916729927062988,5.3672003746032715,42.0,78.0
11,2014,-2.3453407287597656,-0.12194831669330597,5.767522811889648,6.9956207275390625,4.539424419403076,60.0,60.0
12,2015,-2.183361530303955,-0.3988684117794037,6.465504169464111,7.195744037628174,5.710509300231934,61.0,59.0
13,2016,-6.501185417175293,-1.002809762954712,7.816301345825195,8.753735542297363,4.552641868591309,94.0,27.0
14,2017,0.39476364850997925,-0.19695261120796204,5.823601722717285,6.577310562133789,5.185847759246826,55.0,65.0
15,2018,-1.635127305984497,-0.219148650765419,5.846141338348389,6.793625831604004,4.321927070617676,74.0,46.0
16,2019,-2.6084885597229004,0.08777537196874619,5.9457621574401855,6.481814861297607,4.2255859375,90.0,27.0
17,2020,1.1574922800064087,0.2419034093618393,4.8396220207214355,5.611887454986572,4.196066856384277,55.0,66.0
18,2021,-2.0852882862091064,-0.598402202129364,5.2641987800598145,6.895899295806885,4.285179138183594,45.0,75.0
19,2022,-0.26162728667259216,-0.6006991267204285,5.632108688354492,6.442038059234619,5.053587436676025,50.0,70.0
