,date,u_ice,v_ice,sp_ice,div_ice,u10,v10,sp10
0,2018-01-01,-19.67910385131836,3.827177047729492,20.092134475708008,-1.4567105973494235e-05,-5.20336389541626,-1.8087999820709229,5.620448589324951
1,2018-01-02,-21.09079933166504,7.109551906585693,22.341442108154297,-3.98922509532654e-06,-11.70718002319336,0.10768485069274902,12.05629825592041
2,2018-01-03,-6.369063854217529,2.1817197799682617,6.845546245574951,-5.123416750635885e-06,-5.554872989654541,1.8719451427459717,6.306954860687256
3,2018-01-04,-1.0021703243255615,-1.8987451791763306,2.992649555206299,-1.7709741679773457e-05,3.051237106323242,0.7023341059684753,3.2644753456115723
4,2018-01-05,-6.873711109161377,-4.802041053771973,8.76001262664795,-1.4232525848915564e-05,1.2648483514785767,-1.2188740968704224,2.0540504455566406
5,2018-01-06,-9.687390327453613,-5.665649890899658,11.889518737792969,-2.1786316829842307e-05,-1.555343508720398,-3.4344756603240967,4.4492974281311035
6,2018-01-07,-12.22680950164795,-4.338894367218018,13.911957740783691,-1.3440518555708e-05,-2.7396154403686523,-4.460535049438477,6.301220893859863
7,2018-01-08,-16.2435302734375,3.5757997035980225,18.249103546142578,7.809525086350517e-06,-6.540653228759766,-1.9066966772079468,7.524026870727539
8,2018-01-09,-16.01129913330078,7.947244167327881,18.297168731689453,-1.409872437406249e-06,-7.638971328735352,2.371447801589966,8.447331428527832
9,2018-01-10,-13.765619277954102,6.214771747589111,15.378850936889648,-1.295168383959807e-05,-5.032951831817627,3.0025575160980225,6.04494047164917
10,2018-01-11,-9.539312362670898,3.6665003299713135,10.314706802368164,-5.166046531365837e-06,-4.340765476226807,2.577725410461426,5.7689995765686035
11,2018-01-12,-15.9194974899292,4.604976654052734,16.651058197021484,-1.1619102722677304e-06,-4.34401273727417,1.5396848917007446,5.356101036071777
12,2018-01-13,-18.641321182250977,8.877668380737305,20.724374771118164,1.0126493874606778e-05,-8.9874849319458,1.3606597185134888,9.172898292541504
13,2018-01-14,-10.247305870056152,6.2489118576049805,12.320209503173828,-8.699310303596645e-06,-9.935742378234863,4.981168746948242,11.435742378234863
14,2018-01-15,-7.025181770324707,0.46954643726348877,7.213335037231445,-8.917494775805355e-06,0.31574851274490356,2.2841618061065674,3.149951696395874
15,2018-01-16,-13.352140426635742,1.4219839572906494,13.496800422668457,-1.6665085379108393e-05,-1.3983339071273804,0.5602118372917175,2.3915345668792725
