,year,u,v,sp,open_sp,close_sp,num_open,num_close,wnw_comp
0,2003,-2.6854336261749268,-0.6191551685333252,5.723325252532959,10.981807708740234,3.2192862033843994,10.0,21.0,2.2440767380796625
1,2004,-0.5937590599060059,-0.3888512849807739,2.163914203643799,3.0354652404785156,2.0705339908599854,3.0,28.0,0.3997548982742836
2,2005,-4.90736198425293,0.1139218732714653,6.087859153747559,8.900246620178223,4.056689739227295,13.0,18.0,4.577407309360242
3,2006,-3.8427610397338867,0.8980976343154907,5.2760725021362305,10.179500579833984,2.57918643951416,11.0,20.0,3.8939353582407485
4,2007,-0.44250592589378357,0.2813481390476227,3.1359779834747314,5.482688903808594,2.884544849395752,3.0,28.0,0.5164894394884976
5,2008,-2.5209357738494873,-0.024296728894114494,3.5071961879730225,5.0265374183654785,3.2150156497955322,5.0,26.0,2.3197430086265998
6,2009,-4.554264545440674,-0.05034858360886574,6.52256965637207,13.43067741394043,3.232994794845581,10.0,21.0,4.188324230384295
7,2010,-3.620321273803711,-0.019235970452427864,4.675909519195557,7.035083770751953,3.855327844619751,8.0,23.0,3.3373794387848297
8,2011,-0.9101402759552002,0.8543128967285156,3.7175488471984863,5.632404804229736,3.349307060241699,5.0,26.0,1.1677913643030147
9,2012,0.02183806337416172,-0.03374399617314339,1.4535406827926636,,,0.0,0.0,-0.03308900805832535
10,2013,-11.6683931350708,0.8171333074569702,13.25117301940918,16.75979232788086,8.990706443786621,17.0,14.0,11.09289297358459
11,2014,-1.6435045003890991,-0.037221334874629974,3.757903814315796,4.584999084472656,2.8756697177886963,16.0,15.0,1.504156181312643
12,2015,-3.226334571838379,0.31327947974205017,6.11722469329834,7.7059831619262695,4.422549724578857,16.0,15.0,3.100631342552281
13,2016,-10.524961471557617,-0.02786806784570217,11.597951889038086,16.935256958007812,3.1472251415252686,19.0,12.0,9.71313183618538
14,2017,1.3392492532730103,-0.4379657804965973,3.3744776248931885,5.689472198486328,3.214822769165039,2.0,29.0,-1.4049072221688519
15,2018,-8.72055721282959,2.353546619415283,9.866477966308594,11.608832359313965,4.857204437255859,23.0,8.0,8.957407619576026
16,2019,-4.0491557121276855,0.5123745799064636,7.1646199226379395,7.251052379608154,6.581201553344727,27.0,4.0,3.937009349281159
17,2020,2.886996269226074,0.7671307921409607,5.883591175079346,7.5700764656066895,3.213322639465332,19.0,12.0,-2.373668518964961
18,2021,-6.749865531921387,2.2332756519317627,8.95958423614502,12.593859672546387,4.546537399291992,17.0,14.0,7.090700204044209
19,2022,-5.050980567932129,0.5839443802833557,7.886045455932617,11.406206130981445,4.131208419799805,16.0,15.0,4.889963405581868
