,year,u,v,sp,open_sp,close_sp,num_open,num_close,wnw_comp
0,2003,-4.530764102935791,0.07920674234628677,6.8405022621154785,10.49921703338623,3.5710110664367676,42.0,47.0,4.216191329366772
1,2004,-2.2956223487854004,-0.042199552059173584,3.2300961017608643,6.739596366882324,2.0253424644470215,23.0,67.0,2.104729432992044
2,2005,-3.0649948120117188,0.11702897399663925,5.1756744384765625,8.317357063293457,3.8791072368621826,26.0,63.0,2.8764710235261046
3,2006,-1.9237960577011108,0.36976927518844604,5.2660932540893555,10.143898010253906,2.6589903831481934,31.0,58.0,1.9188603778482245
4,2007,-3.9874026775360107,0.6117995977401733,6.356753826141357,10.893386840820312,2.8181798458099365,39.0,50.0,3.9180052916390133
5,2008,-5.719204902648926,1.2090370655059814,7.660745620727539,11.824841499328613,4.017160892486572,42.0,48.0,5.746534805879993
6,2009,-3.4273855686187744,0.7809115648269653,6.2133283615112305,10.14608383178711,4.111338138580322,31.0,58.0,3.4653332948730204
7,2010,-4.343074798583984,-0.48825588822364807,5.9327392578125,8.023111343383789,4.715647220611572,33.0,54.0,3.825630475399431
8,2011,-0.5035545825958252,-0.021482186391949654,4.584660053253174,6.391922473907471,3.9912304878234863,22.0,67.0,0.4570028955393692
9,2012,-2.4966750144958496,0.3466954827308655,3.737337589263916,,,0.0,0.0,2.4393015625419547
10,2013,-5.321893215179443,-0.20238494873046875,8.058674812316895,15.186029434204102,4.787101745605469,28.0,61.0,4.839338848875764
11,2014,-2.547849178314209,0.49472153186798096,4.422787189483643,6.276192665100098,2.9098024368286133,40.0,49.0,2.5432274416503513
12,2015,-3.498072862625122,0.4602014720439911,5.8368072509765625,7.709761142730713,3.4355835914611816,50.0,39.0,3.4079093999137777
13,2016,-15.257264137268066,2.017784357070923,16.22341537475586,18.519617080688477,5.603477478027344,74.0,16.0,14.868046702076928
14,2017,-3.104363203048706,-0.08020663261413574,7.301264762878418,11.951106071472168,4.287477970123291,35.0,54.0,2.837363875310656
15,2018,-6.126152038574219,0.6674509644508362,8.472707748413086,10.815282821655273,4.683248996734619,55.0,34.0,5.915248907502451
16,2019,-4.496705532073975,1.1240133047103882,7.188889980316162,7.396755695343018,6.188671112060547,70.0,16.0,4.584555474284019
17,2020,0.2911025285720825,0.4969542324542999,5.7028326988220215,6.937596321105957,4.468069076538086,45.0,45.0,-0.07876751660605896
18,2021,-3.4698684215545654,1.1306744813919067,6.202157974243164,11.267986297607422,3.494560956954956,31.0,58.0,3.6384308066081807
19,2022,-4.253161907196045,0.9975824356079102,7.271486282348633,10.056221961975098,4.423462390899658,45.0,44.0,4.311167505040656
