,date,u,v,sp,wnw_comp
0,1980-03-01,-1.804753303527832,0.39651408791542053,2.5470964908599854,1.81911401050608
1,1980-03-02,-2.470071315765381,2.2826523780822754,3.6153669357299805,3.155581579419719
2,1980-03-03,-1.6318414211273193,2.7002968788146973,3.563058614730835,2.5409837672732087
3,1980-03-04,-0.8395752310752869,0.9255229830741882,1.6434541940689087,1.1298486838894988
4,1980-03-05,-1.034454107284546,-0.7843891978263855,1.4488921165466309,0.6555382265081261
5,1980-03-06,-0.8030442595481873,-1.7926758527755737,2.2143142223358154,0.0558888066390808
6,1980-03-07,-0.40652012825012207,-0.014742298051714897,1.1241929531097412,0.3699339928247717
7,1980-03-08,-1.110589861869812,1.237176775932312,1.8530117273330688,1.499498297452209
8,1980-03-09,-1.21230947971344,-0.11405520141124725,1.8286586999893188,1.0763808794215064
9,1980-03-10,-0.5890555381774902,-0.6566450595855713,1.236660122871399,0.29292916998681884
10,1980-03-11,-0.36878010630607605,-0.3759027123451233,0.8783138394355774,0.1968566520179414
11,1980-03-12,0.8795899152755737,-0.621557354927063,1.401538610458374,-1.050494821721694
12,1980-03-13,2.1588478088378906,-1.7499028444290161,2.8386788368225098,-2.664174131203696
13,1980-03-14,3.206865072250366,-1.243666648864746,3.498224973678589,-3.438687625682992
14,1980-03-15,6.2857208251953125,0.3130521774291992,6.644229888916016,-5.687448935709933
15,1980-03-16,4.864953517913818,0.8368573188781738,5.597137928009033,-4.174379550631212
16,1980-03-17,4.094255447387695,1.2438526153564453,4.465343952178955,-3.3065970205134345
17,1980-03-18,2.729675531387329,0.6314328908920288,3.071401834487915,-2.2802524478508515
18,1980-03-19,-0.47686636447906494,-0.1320577710866928,0.6136518716812134,0.3900307527753365
19,1980-03-20,-2.6661016941070557,1.3535003662109375,3.0129387378692627,2.981118952628184
20,1980-03-21,-7.37696647644043,2.5982413291931152,7.8621649742126465,7.809732249573672
21,1980-03-22,-4.982664108276367,1.360575795173645,5.216705799102783,5.12405120230505
22,1980-03-23,-3.2563633918762207,0.38267597556114197,3.311342716217041,3.154931243984868
23,1980-03-24,-3.036302328109741,0.425701767206192,3.0817506313323975,2.9680865888953094
24,1980-03-25,-3.710859537124634,-0.14619627594947815,3.818232774734497,3.3724402816944163
25,1980-03-26,-3.664233446121216,-1.2400877475738525,4.023212909698486,2.910749247539235
26,1980-03-27,-3.538320779800415,-2.7651257514953613,4.6566362380981445,2.210814334413636
27,1980-03-28,-2.200110673904419,-2.9409098625183105,4.017998695373535,0.9071997404150554
28,1980-03-29,-0.3068540394306183,-0.7722594141960144,1.527956247329712,-0.012034716802424739
29,1980-03-30,-1.5585936307907104,-0.6892151832580566,1.7681355476379395,1.1762015230226632
30,1980-03-31,-4.23426628112793,-1.3987563848495483,4.5289387702941895,3.3766710579399666
31,1980-04-01,-6.351773262023926,-0.18583914637565613,6.383386135101318,5.797155749533521
32,1980-04-02,-5.99537992477417,1.0307594537734985,6.165709972381592,5.933463367840721
33,1980-04-03,-3.3159666061401367,-0.38883474469184875,3.6338095664978027,2.9147530631823075
34,1980-04-04,-1.2607251405715942,-0.7826996445655823,2.0270638465881348,0.865231967003218
35,1980-04-05,-1.967248558998108,-1.2062039375305176,2.4931137561798096,1.3559064160742098
36,1980-04-06,-1.8331066370010376,-0.8837288022041321,2.189173698425293,1.3553813315284888
37,1980-04-07,-1.1304329633712769,-0.9598721861839294,1.5975724458694458,0.6770566948941552
38,1980-04-08,0.5542519092559814,-0.7751467227935791,1.0708074569702148,-0.808697803282102
39,1980-04-09,0.6273135542869568,-0.46830084919929504,0.8982483744621277,-0.7587731296236998
40,1980-04-10,0.6760271787643433,-0.5174623131752014,1.0172414779663086,-0.8225919280071906
41,1980-04-11,0.016230350360274315,-0.6278389692306519,0.8184265494346619,-0.25525846022109044
42,1980-04-12,-1.27080500125885,-0.9863806366920471,1.6633567810058594,0.7965992028082565
43,1980-04-13,-1.5685304403305054,-0.8099963665008545,1.9002658128738403,1.139160980206472
44,1980-04-14,-2.8297595977783203,-0.009918478317558765,2.8524649143218994,2.610561336988359
45,1980-04-15,-2.9726250171661377,-0.24816767871379852,3.0059633255004883,2.6513777520985338
46,1980-04-16,-1.9959321022033691,0.28709906339645386,2.049931764602661,1.953868872517276
47,1980-04-17,-1.9562302827835083,0.27181586623191833,2.0504157543182373,1.9113405478033705
48,1980-04-18,-1.5743693113327026,-0.1793675720691681,1.692760705947876,1.385886585219752
49,1980-04-19,-2.0309982299804688,-0.5283588171005249,2.123115062713623,1.6742035295972189
50,1980-04-20,-3.6594414710998535,-0.8676519393920898,3.9118258953094482,3.048847053307356
51,1980-04-21,-5.129264831542969,-0.36615362763404846,5.1635823249816895,4.598701867696575
52,1980-04-22,-7.703325271606445,-0.6697233319282532,7.752274990081787,6.860652527316856
53,1980-04-23,-5.994648456573486,-0.7806821465492249,6.053332328796387,5.239578890201016
54,1980-04-24,-2.8172178268432617,-0.34847792983055115,2.8643691539764404,2.46941315855538
55,1980-04-25,-3.038628578186035,-0.6825031638145447,3.1372628211975098,2.546144096961367
56,1980-04-26,-3.201233148574829,-0.37054136395454407,3.255863666534424,2.815753743773581
57,1980-04-27,-3.4280707836151123,-0.9864555597305298,3.6134049892425537,2.789624233508625
58,1980-04-28,-2.147512912750244,-0.8370985984802246,2.38246750831604,1.6636994609992288
59,1980-04-29,-1.7522965669631958,-0.923958420753479,2.0263049602508545,1.265327353290521
60,1980-04-30,-0.2699180245399475,-1.3319575786590576,1.4500778913497925,-0.26034635963760544
