year,open_area,open_area_b80,open_extent_80,avg_sic
2003,4206.040604952661,2412.5467045515425,4879.450704789694,98.16599515279134
2004,2417.0712870603124,802.7040918926514,1987.900705672321,98.94898917458274
2005,3283.2005627963204,746.4755434428647,1801.5022613993904,98.57148882548015
2006,2992.9908136066,810.454021506645,1916.7743378490648,98.69719092051189
2007,4242.4922903725255,1858.7850553344094,3591.7505280062965,98.15247230529785
2008,3913.500703260923,2097.5008097802656,4546.151499948659,98.29405603329998
2009,4678.75563670791,821.509545134471,2272.601772610228,97.96672058105469
2010,2438.0785640400036,585.44460761057,1344.9532468292664,98.93046621991019
2011,2319.211357938033,548.6376939037062,1307.8402422877232,98.99072481791178
2012,,,,
2013,3654.341908426591,1154.3386066499822,2621.8980051513727,98.40964736938477
2014,5053.175742098241,2688.1454784864154,4968.028057427266,97.79619483947754
2015,5961.43612461049,2140.744368423558,3762.1936755238416,97.40463841756186
2016,11828.812835066701,9122.51386252539,14311.194738655093,94.83319009828173
2017,5417.162864967942,1740.3845181052195,3647.8240686552085,97.64183928171794
2018,7232.005288618644,2296.1249014651917,5048.922892808753,96.85407346089681
2019,7209.296013288536,3497.640106596621,6982.343513516103,96.82960549716292
2020,7189.965334058162,1808.7362493221337,4441.811978744058,96.87221640594734
2021,3541.347871773143,1421.2165452224333,2724.6369887452706,98.45716622670491
2022,5034.275387879162,1434.3012849453637,2982.9002339819913,97.79060940782563
