,year,u,v,sp,open_sp,close_sp,num_open,num_close,wnw_comp
0,2003,-5.223367691040039,0.6297196745872498,7.7265305519104,10.882973670959473,4.119167327880859,64.0,56.0,5.066745787031507
1,2004,-2.9099016189575195,-0.3383886516094208,4.583813190460205,8.78884506225586,2.658618450164795,38.0,83.0,2.5589028167050216
2,2005,-2.2713236808776855,-0.02517523802816868,6.222987651824951,10.052151679992676,4.308405876159668,40.0,80.0,2.088795313971864
3,2006,-1.2124332189559937,-0.010529709048569202,4.623387336730957,10.021932601928711,2.6602795124053955,32.0,88.0,1.1161126903297058
4,2007,-4.292685031890869,0.5483579039573669,6.338083744049072,10.560468673706055,3.8046534061431885,45.0,75.0,4.175771325332466
5,2008,-5.763950824737549,0.8887589573860168,7.975743293762207,12.267390251159668,4.516804218292236,54.0,67.0,5.665309521734272
6,2009,-2.9924566745758057,0.5794767141342163,6.0458984375,9.282572746276855,4.427561283111572,40.0,80.0,2.986425611507901
7,2010,-3.6129908561706543,-0.39356833696365356,6.1614909172058105,8.309761047363281,4.979373455047607,43.0,75.0,3.1873562211070268
8,2011,-1.9231371879577637,0.19603225588798523,5.661078929901123,8.667344093322754,4.613953113555908,31.0,89.0,1.851765382702975
9,2012,-2.073415756225586,-0.1565057337284088,4.562962532043457,,,0.0,0.0,1.8556942281952262
10,2013,-5.77346134185791,-0.8214520215988159,8.43052864074707,15.062854766845703,4.859277248382568,42.0,78.0,5.019626686338995
11,2014,-4.483950614929199,0.5552693605422974,6.564239501953125,9.510258674621582,3.6182188987731934,60.0,60.0,4.35512258270398
12,2015,-3.535691499710083,0.3016119599342346,6.000433444976807,7.931386947631836,4.004023551940918,61.0,59.0,3.3819749099262766
13,2016,-13.623607635498047,1.8877063989639282,14.816513061523438,17.44968032836914,5.6491923332214355,94.0,27.0,13.308966217454191
14,2017,-2.560394763946533,0.20423240959644318,7.797577857971191,11.496363639831543,4.667835235595703,55.0,65.0,2.443652677063829
15,2018,-6.615541458129883,0.7566998600959778,8.816219329833984,11.361442565917969,4.721731662750244,74.0,46.0,6.401539849377785
16,2019,-5.772697925567627,1.296305537223816,8.228410720825195,8.91716194152832,5.994264602661133,90.0,27.0,5.829352113180976
17,2020,-0.3964836299419403,0.5130361318588257,5.988855838775635,7.560958385467529,4.678769588470459,55.0,66.0,0.562633538546182
18,2021,-5.225598335266113,1.134129285812378,7.537728786468506,13.250873565673828,4.109841346740723,45.0,75.0,5.261835834917864
19,2022,-3.0761611461639404,0.5224703550338745,7.203271389007568,10.657055854797363,4.7362823486328125,50.0,70.0,3.0419430704206953
