,date,u,v,sp
0,2017-11-01,1.1194536685943604,-0.7408894300460815,4.968260765075684
1,2017-11-02,11.525979995727539,-1.205575942993164,11.916878700256348
2,2017-11-03,7.239901065826416,-13.801905632019043,15.653207778930664
3,2017-11-04,-12.477916717529297,-6.075684547424316,15.422774314880371
4,2017-11-05,-8.247138023376465,-4.679782390594482,10.151156425476074
5,2017-11-06,-6.035247325897217,2.5287766456604004,11.768601417541504
6,2017-11-07,-0.6543067693710327,8.56923770904541,9.026847839355469
7,2017-11-08,-0.624500572681427,2.273287534713745,4.145764350891113
8,2017-11-09,-2.6721439361572266,-1.4011412858963013,6.233395576477051
9,2017-11-10,2.9245076179504395,4.0248517990112305,7.518081188201904
10,2017-11-11,-0.7772320508956909,6.169310569763184,6.459206581115723
11,2017-11-12,-14.636466979980469,12.367728233337402,19.79934310913086
12,2017-11-13,-18.345291137695312,0.32876861095428467,18.581195831298828
13,2017-11-14,-9.940006256103516,0.19327062368392944,10.232380867004395
14,2017-11-15,-8.128509521484375,4.282350540161133,10.099724769592285
15,2017-11-16,-17.164382934570312,-2.5123608112335205,17.876544952392578
16,2017-11-17,-17.386838912963867,-5.156582832336426,18.319007873535156
17,2017-11-18,-17.828218460083008,-2.7165367603302,18.126548767089844
18,2017-11-19,-18.281675338745117,-3.5649666786193848,18.688488006591797
19,2017-11-20,-14.363289833068848,3.842223882675171,17.003662109375
20,2017-11-21,-17.215925216674805,5.412357330322266,18.087968826293945
21,2017-11-22,-22.618255615234375,8.673908233642578,24.276159286499023
22,2017-11-23,-15.301291465759277,0.9224942922592163,15.36284065246582
23,2017-11-24,-13.113959312438965,-3.107327699661255,13.675724983215332
24,2017-11-25,-4.015083312988281,-4.298155784606934,7.003518581390381
25,2017-11-26,-6.376605987548828,-3.4796431064605713,7.971131801605225
26,2017-11-27,-21.067548751831055,7.116667747497559,22.40379524230957
27,2017-11-28,-21.577871322631836,2.568051338195801,21.843149185180664
28,2017-11-29,-17.753376007080078,-2.1180737018585205,18.049619674682617
29,2017-11-30,-12.438682556152344,-6.155827045440674,14.081860542297363
30,2017-12-01,-13.9027738571167,-4.944527626037598,15.138116836547852
31,2017-12-02,-24.194408416748047,1.728264331817627,24.385705947875977
32,2017-12-03,-26.663795471191406,2.892143726348877,26.975887298583984
33,2017-12-04,-29.505470275878906,-0.14123430848121643,29.61771011352539
34,2017-12-05,-20.618745803833008,1.226030707359314,20.7863712310791
35,2017-12-06,-25.60384750366211,3.5370934009552,26.070680618286133
36,2017-12-07,-24.28221893310547,-1.3834162950515747,24.539382934570312
37,2017-12-08,-30.784542083740234,-0.030200015753507614,30.92933464050293
38,2017-12-09,-21.34488296508789,-0.9586234092712402,21.761920928955078
39,2017-12-10,-19.056581497192383,0.6975542306900024,19.235374450683594
40,2017-12-11,-31.820207595825195,-0.8163724541664124,31.985322952270508
41,2017-12-12,-26.878671646118164,-1.1511234045028687,27.189992904663086
42,2017-12-13,-28.914098739624023,3.3813111782073975,29.199993133544922
43,2017-12-14,-27.092287063598633,-0.4396539628505707,27.137584686279297
44,2017-12-15,-29.505558013916016,-3.81980299949646,29.8946590423584
45,2017-12-16,-29.478368759155273,-5.728778839111328,30.069316864013672
46,2017-12-17,-17.4644718170166,-6.032527923583984,18.799165725708008
47,2017-12-18,-10.910904884338379,-1.903212070465088,11.649212837219238
48,2017-12-19,-16.63496971130371,4.855292797088623,17.881717681884766
49,2017-12-20,-12.706982612609863,3.3932266235351562,13.698113441467285
50,2017-12-21,0.032999034970998764,2.3150575160980225,5.113828659057617
51,2017-12-22,-9.794429779052734,6.0813517570495605,12.929973602294922
52,2017-12-23,-15.386495590209961,12.787666320800781,20.09145164489746
53,2017-12-24,-17.748037338256836,14.861151695251465,23.51725959777832
54,2017-12-25,-12.290468215942383,8.187838554382324,15.014244079589844
55,2017-12-26,-5.074742794036865,-1.0091418027877808,5.330300807952881
56,2017-12-27,-13.235957145690918,-2.460763454437256,13.490386962890625
57,2017-12-28,-20.524442672729492,5.340985298156738,21.419008255004883
58,2017-12-29,-11.021306991577148,4.356344699859619,12.514114379882812
59,2017-12-30,-2.8117692470550537,-1.6162251234054565,3.550074577331543
60,2017-12-31,1.4918910264968872,-0.3801107704639435,2.1228156089782715
61,2018-01-01,-19.67910385131836,3.827177047729492,20.092134475708008
62,2018-01-02,-21.09079933166504,7.109551906585693,22.341442108154297
63,2018-01-03,-6.369063854217529,2.1817197799682617,6.845546245574951
64,2018-01-04,-1.0021703243255615,-1.8987451791763306,2.992649555206299
65,2018-01-05,-6.873711109161377,-4.802041053771973,8.76001262664795
66,2018-01-06,-9.687390327453613,-5.665649890899658,11.889518737792969
67,2018-01-07,-12.22680950164795,-4.338894367218018,13.911957740783691
68,2018-01-08,-16.2435302734375,3.5757997035980225,18.249103546142578
69,2018-01-09,-16.01129913330078,7.947244167327881,18.297168731689453
70,2018-01-10,-13.765619277954102,6.214771747589111,15.378850936889648
71,2018-01-11,-9.539312362670898,3.6665003299713135,10.314706802368164
72,2018-01-12,-15.9194974899292,4.604976654052734,16.651058197021484
73,2018-01-13,-18.641321182250977,8.877668380737305,20.724374771118164
74,2018-01-14,-10.247305870056152,6.2489118576049805,12.320209503173828
75,2018-01-15,-7.025181770324707,0.46954643726348877,7.213335037231445
76,2018-01-16,-13.352140426635742,1.4219839572906494,13.496800422668457
77,2018-01-17,-21.181921005249023,3.002763032913208,21.651153564453125
78,2018-01-18,-10.392997741699219,2.309906005859375,10.854071617126465
